,Unnamed: 0,Index,company,company_location,review_date,Bean_Country,Bean_Province,cocoa_percent,rating,num_ingredients,cocoa_butter,vanilla,lecithin,salt,sugar,alternative_sweetener,first_taste,second_taste,third_taste,fourth_taste
1475,1475,1475,Nearynogs,Ireland,2018,Dominican republic,"Hispaniola, batch 170308",70.0,3.25,2,No,No,No,No,Yes,No,dry,sandy,sweet,acidic
1476,1476,1476,Neuhaus (Callebaut),Belgium,2006,Venezuela,Ocumare,71.0,3.0,5,Yes,Yes,Yes,No,Yes,No,pastey,complex,coffee,vanilla
1485,1485,1485,Nibble,U.S.A,2015,Venezuela,Patanemo,72.0,2.25,2,No,No,No,No,Yes,No,molasses,nut,roasty,bitter
1502,1502,1502,Nuance,U.S.A,2015,Ghana,"Ghana, 2013, batch 3581",70.0,3.75,2,No,No,No,No,Yes,No,rich,cherry,smoke,cocoa
1508,1508,1508,Nuance,U.S.A,2020,Nigeria,"Akwa Ibom, 2017 h., batch 19762",70.0,3.0,3,Yes,No,No,No,Yes,No,cocoa,nut,dried fruit,rubbery
1516,1516,1516,Ocho,New zealand,2014,Papua new guinea,"PNG, Voodoo, batch 95",88.0,3.25,2,No,No,No,No,Yes,No,intense,bitter,sour,smokey
1521,1521,1521,Ohiyo,U.S.A,2015,Tanzania,Tanzania,70.0,3.0,3,Yes,No,No,No,Yes,No,sweet,sandy,fruit,pungent
1531,1531,1531,Olivia,Canada,2011,Blend,Carribean,85.0,2.75,5,Yes,Yes,Yes,No,Yes,No,creamy,medicinal,mint,bitter
1550,1550,1550,Original Hawaiin Chocolate Factory,U.S.A,2006,U.s.a.,"Hawai'i Island, Kona Estate, Hualalai Mtn",60.0,3.0,5,Yes,Yes,Yes,No,Yes,No,muddy,pastey,sweet,vanilla
1554,1554,1554,Pacari,Ecuador,2008,Ecuador,Raw,70.0,3.5,4,Yes,No,Yes,No,Yes,No,sandy,green,spice,nuts
1555,1555,1555,Pacari,Ecuador,2008,Ecuador,Los Rios,72.0,3.0,4,Yes,No,Yes,No,Yes,No,sandy,rubber,spice,floral
1557,1557,1557,Pacari,Ecuador,2008,Ecuador,Esmeraldas,60.0,2.75,4,Yes,No,Yes,No,Yes,No,floral,rubber,vanilla,metallic
1580,1580,1580,Palette de Bine,Canada,2017,Haiti,Pisa,70.0,3.5,2,No,No,No,No,Yes,No,sticky,bold,nutty,fig
1585,1585,1585,Pangea,Spain,2019,Peru,Chilique,71.0,3.5,2,No,No,No,No,Yes,No,sandy,fruit,cocoa,sour
1601,1601,1601,Patric,U.S.A,2007,Madagascar,Madagascar,70.0,4.0,3,Yes,No,No,No,Yes,No,mild tart,wine,red fruit,long
1607,1607,1607,Paul Young,U.k.,2014,Madagascar,"Madagascar, w/ shell",64.0,2.75,2,No,No,No,No,No,Yes,coarse,sweet,tart,earthy
1616,1616,1616,Pierre Marcolini,Belgium,2007,Madagascar,"Sambirano, Ambanja, Madagascar",72.0,4.0,5,Yes,Yes,Yes,No,Yes,No,tangy,floral,spicy,cocoa
1628,1628,1628,Piety and Desire,U.S.A,2020,Tanzania,"Kokoa Kamili, Kilombero Valley, batch 304",70.0,3.5,3,Yes,No,No,No,Yes,No,sweet,cream,cherry,rich
1636,1636,1636,Pitch Dark,U.S.A,2015,Nicaragua,Rugoso,80.0,3.25,2,No,No,No,No,Yes,No,chunky,dairy,nutty,rich
1637,1637,1637,Pitch Dark,U.S.A,2015,Nicaragua,Johe,80.0,2.75,2,No,No,No,No,Yes,No,dry,sandy,earthy,leathery
1640,1640,1640,Pitch Dark,U.S.A,2015,Nicaragua,Tenor,62.0,2.5,3,Yes,No,No,No,Yes,No,coarse,earthy,metal,sweet
1660,1660,1660,Pralus,France,2008,Madagascar,"Sambirano Valley, Le 100%",100.0,3.0,2,Yes,No,No,No,No,No,fatty,mild fruit,bitter,smoke
1662,1662,1662,Pralus,France,2009,Venezuela,Cuyagua,75.0,2.0,4,Yes,No,Yes,No,Yes,No,creamy,burnt,ashey,lemon
1665,1665,1665,Pralus,France,2015,Peru,Peru,75.0,3.25,3,Yes,No,No,No,Yes,No,subdued,floral,nutty,fatty
1673,1673,1673,Pralus,France,2019,Indonesia,Java,75.0,3.0,4,Yes,No,Yes,No,Yes,No,fruit,woody,ashey,fatty
1675,1675,1675,Pralus,France,2019,Madagascar,Nosy Be Isle.,75.0,3.0,4,Yes,No,Yes,No,Yes,No,high acidity,roasty,sour,chalky
